Date,Open,High,Low,Close,Adj Close,Volume
3/28/17,55.403999,56.136002,55,55.490002,55.490002,39938000
3/29/17,55.667999,55.919998,55.108002,55.476002,55.476002,18381000
3/30/17,55.608002,56.400002,55.442001,55.584,55.584,20742000
3/31/17,55.745998,55.936001,55.264,55.66,55.66,16473000
4/3/17,57.380001,59.799999,56.916,59.703999,59.703999,69443000
4/4/17,59.377998,60.962002,58.905998,60.740002,60.740002,50673000
4/5/17,60.408001,60.976002,58.84,59,59,39404500
4/6/17,59.375999,60.388,58.82,59.740002,59.740002,27603000
4/7/17,59.5,60.537998,59.43,60.507999,60.507999,22898000
4/10/17,61.830002,62.745998,61.742001,62.478001,62.478001,38322500
4/11/17,62.675999,62.694,61.099998,61.742001,61.742001,28623000
4/12/17,61.268002,61.689999,59.264,59.368,59.368,30253500
4/13/17,59.34,61.478001,59.060001,60.799999,60.799999,46423000
4/17/17,60.540001,60.799999,59.736,60.287998,60.287998,20693500
4/18/17,59.939999,60.167999,59.580002,60.049999,60.049999,15178500
4/19/17,60.492001,61.324001,60.422001,61.104,61.104,19490000
4/20/17,61.301998,61.830002,60.046001,60.501999,60.501999,30747000
4/21/17,60.400002,61.279999,60.084,61.119999,61.119999,22549000
4/24/17,61.844002,62.110001,61.203999,61.605999,61.605999,25417500
4/25/17,61.599998,62.796001,61.172001,62.757999,62.757999,33688500
4/26/17,62.473999,62.900002,61.799999,62.034,62.034,23475000
4/27/17,62.338001,62.618,61.5,61.726002,61.726002,17343000
4/28/17,61.966,62.959999,61.599998,62.813999,62.813999,22527500
5/1/17,62.976002,65.449997,62.962002,64.566002,64.566002,44148000
5/2/17,64.800003,65.531998,63.312,63.778,63.778,26914000
5/3/17,63.534,64.306,62.09,62.203999,62.203999,35667000
5/4/17,61.487999,61.554001,58.152,59.091999,59.091999,70760000
5/5/17,59.599998,61.709999,59.360001,61.669998,61.669998,40886500
5/8/17,62.18,62.757999,61.164001,61.438,61.438,35032500
5/9/17,61.875999,64.398003,61.82,64.251999,64.251999,48382500
5/10/17,64.311996,65.099998,63.624001,65.043999,65.043999,28708000
5/11/17,64.68,65.199997,63.919998,64.620003,64.620003,23769000
